fid,FRRD_NM,count,unique,min,max,range,sum,mean,median,stddev,minority,majority,q1,q3,iqr
337,현동-항목,75,5,1,5,4,207,2.76,3,0.921448135635786,5,3,2,3,1
338,큰두렁터골,86,5,1,5,4,228,2.65116279069767,3,1.09722103368237,5,3,2,3,1
339,무개골(2),105,5,1,5,4,339,3.22857142857143,3,0.988092369473748,1,3,3,4,1
340,곰치골,137,5,1,5,4,496,3.62043795620438,4,0.989959719458609,1,4,3,4,1
341,석포(봉화-삼척),699,5,1,5,4,2477,3.54363376251788,4,1.09715405694387,1,4,3,4,1
342,묘봉,285,5,1,5,4,857,3.00701754385965,3,1.05960264798746,1,3,2,4,2
343,수냄골,323,5,1,5,4,900,2.78637770897833,3,1.10761515753988,5,3,2,4,2
344,여우천-꼬치비재,176,5,1,5,4,461,2.61931818181818,3,1.06465508227542,5,3,2,3,1
345,횡악산1,91,5,1,5,4,256,2.81318681318681,3,0.959762881797716,5,3,2,4,2
346,광회,321,5,1,5,4,982,3.05919003115265,3,1.2226769433556,1,3,2,4,2
347,쌍전(불당골),181,5,1,5,4,548,3.02762430939227,3,0.900772775822626,5,3,3,4,1
348,시번,40,5,1,5,4,124,3.1,2.5,1.57797338380595,3,5,2,5,3
349,작은터골,217,5,1,5,4,635,2.92626728110599,3,1.00876407589628,5,3,2,4,2
350,태저골,169,5,1,5,4,532,3.14792899408284,3,1.03575652009662,1,3,2,4,2
351,석포-전곡,241,5,1,5,4,680,2.82157676348548,3,1.00893888803634,5,3,2,4,2
352,석포-전곡2,316,5,1,5,4,831,2.62974683544304,3,1.0609292257185,5,2,2,3,1
353,전곡전환,292,5,1,5,4,912,3.12328767123288,3,1.37686566310282,2,4,2,4,2
354,전곡(연결),219,5,1,5,4,641,2.92694063926941,3,1.30477005134516,5,2,2,4,2
355,골포동골,272,5,1,5,4,918,3.375,4,1.37700388738825,2,5,2,5,3
356,소광산불예방(미인송),98,5,1,5,4,297,3.03061224489796,3,1.24091869878446,1,3,2,4,2
357,소광산불예방,716,5,1,5,4,2355,3.2891061452514,3,1.25468676004338,1,3,2,4,2
358,소광(광산골),100,5,1,5,4,308,3.08,3,1.17200682591869,1,3,2,4,2
359,두천산불예방(혼다골),106,5,1,5,4,309,2.91509433962264,3,1.25981373681882,5,3,2,4,2
360,상당산불예방,261,5,1,5,4,884,3.38697318007663,3,1.05393935137123,1,3,3,4,1
361,소광(대흥두천연결),102,5,1,5,4,333,3.26470588235294,3,0.884800526852431,1,3,3,4,1
362,소광,60,5,1,5,4,185,3.08333333333333,3,1.15890273774616,1,3,2,4,2
363,곰도골(소광),155,5,1,5,4,457,2.94838709677419,3,1.08237223569699,5,3,2,4,2
364,삼근,85,5,1,5,4,268,3.15294117647059,3,1.01176470588235,1,4,2,4,2
365,답운골(쌍전),218,5,1,5,4,702,3.22018348623853,3,1.02588335768766,1,3,2,4,2
366,앞골(구산),226,5,1,5,4,650,2.87610619469027,3,0.903608727318146,5,3,2,4,2
367,이평(동대골),321,5,1,5,4,1015,3.16199376947041,3,1.29168961770892,1,3,2,4,2
368,이평산불예방,222,5,1,5,4,610,2.74774774774775,3,1.17380161981278,5,3,2,4,2
369,선구,143,5,1,5,4,491,3.43356643356643,4,1.1377774959112,1,4,3,4,1
370,막둥이골(길곡),88,5,1,5,4,273,3.10227272727273,3,1.09792958798153,1,4,2,4,2
371,길곡산불예방,807,5,1,5,4,2531,3.1363073110285,3,1.1335845241277,1,3,2,4,2
